StartDate,JobNum,PartNum,OpDesc,OprSeq,ProdStandard,TotalLaborHours,ProdQty,LaborHoursPerUnit,TotalProdStandard
2025-03-22,507848,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,58.760000000000005,5.0,11.752,37.5
2025-03-30,507841,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,71.77,5.0,14.354,37.5
2025-04-13,507850,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,32.39,5.0,6.478,37.5
2025-04-19,507849,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,61.19,5.0,12.238,37.5
2025-05-01,507842,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,33.5,5.0,6.7,37.5
2025-05-17,507843,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,32.74,5.0,6.548,37.5
2025-05-17,507856,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,44.53,5.0,8.906,37.5
2025-06-08,507862,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,7.5,15.780000000000001,5.0,3.156,37.5
2025-06-08,507845,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,29.41,5.0,5.882,37.5
2025-06-08,507846,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,7.5,14.810000000000002,5.0,2.9620000000000006,37.5
