StartDate,JobNum,PartNum,OpDesc,OprSeq,ProdStandard,TotalLaborHours,ProdQty,LaborHoursPerUnit,TotalProdStandard
2022-02-01,355350,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,7.67,1.0,7.67,11.0
2022-02-21,355347,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,9.559999999999999,1.0,9.559999999999999,11.0
2022-02-28,355353,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,9.0,1.0,9.0,11.0
2022-03-06,355346,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,15.24,1.0,15.24,11.0
2022-03-06,355352,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,12.84,1.0,12.84,11.0
2022-03-07,360023,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,9.35,1.0,9.35,11.0
2022-04-03,355349,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,19.0,1.0,19.0,11.0
2022-05-09,355359,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,10.64,1.0,10.64,11.0
2022-05-09,355358,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,14.649999999999999,1.0,14.649999999999999,11.0
2022-05-23,361878,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,18.81,1.0,18.81,11.0
2022-05-27,361895,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,14.77,1.0,14.77,11.0
2022-05-30,360024,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,22.53,1.0,22.53,11.0
2022-05-30,361894,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,15.189999999999998,1.0,15.189999999999998,11.0
2022-06-26,376632,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,8.86,1.0,8.86,11.0
2022-06-29,376642,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,26.310000000000002,1.0,26.310000000000002,11.0
2022-07-04,376637,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,12.89,1.0,12.89,11.0
2022-07-08,376655,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,7.9399999999999995,1.0,7.9399999999999995,11.0
2022-07-10,376654,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,19.290000000000003,1.0,19.290000000000003,11.0
2022-07-17,376659,PRO165LM-0310-ES18837-25,CMP-Direct-Drive Linear Stages,11,11.0,9.239999999999998,1.0,9.239999999999998,11.0
2022-07-24,376658,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,14.520000000000001,1.0,14.520000000000001,11.0
2022-11-28,399962,PRO165LM-0310-ES18837-15,CMP-Direct-Drive Linear Stages,11,11.0,16.590000000000003,1.0,16.590000000000003,11.0
